id,marca,categoria,pantalla,gpu,sistema_operativo,nucleos_cpu,tamano_pantalla_in,frecuencia_cpu,ram_gb,almacenamiento_gb_ssd,peso_lb,precio,frecuencia_cpu_normalizada,precio_agrupado,pantalla_full_hd,pantalla_ips_panel
71,Lenovo,3,Full HD,2,1,5,15.6,2.5,6,256,4.85,735,0.7647,Bajo,1,0
72,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,6.62,1208,0.3529,Bajo,0,1
73,Lenovo,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.3,1394,0.8824,Bajo,0,1
74,Asus,4,Full HD,3,1,5,15.6,2.5,8,256,3.75,1241,0.7647,Bajo,1,0
75,Dell,3,Full HD,3,1,7,15.6,2.8,8,256,4.41,2323,0.9412,Medio,1,0
76,Lenovo,3,Full HD,2,1,5,15.6,1.6,8,256,4.52,939,0.2353,Bajo,1,0
77,Acer,3,Full HD,3,2,7,15.6,2.8,8,256,5.51,1244,0.9412,Bajo,1,0
78,Dell,5,Full HD,3,1,7,17.3,2.9,16,256,7.54,3665,1.0,Alto,1,0
79,Toshiba,3,IPS Panel,3,1,7,15.0,2.5,8,256,4.85,1325,0.7647,Bajo,0,1
80,Lenovo,3,IPS Panel,2,1,5,13.0,2.5,8,256,2.43,1269,0.7647,Bajo,0,1
81,HP,3,Full HD,2,1,5,14.0,2.5,8,256,4.3,1245,0.7647,Bajo,1,0
82,HP,3,Full HD,2,1,7,14.0,2.7,8,256,3.26,1641,0.8824,Medio,1,0
83,Asus,3,Full HD,2,1,7,14.0,2.7,8,256,4.41,1390,0.8824,Bajo,1,0
84,Asus,4,Full HD,3,1,7,15.6,2.7,8,256,3.75,1334,0.8824,Bajo,1,0
85,HP,4,Full HD,2,1,7,12.5,2.7,8,256,2.78,1696,0.8824,Medio,1,0
86,Toshiba,3,IPS Panel,2,1,5,15.0,2.5,8,256,4.41,1198,0.7647,Bajo,0,1
87,Asus,1,Full HD,3,1,7,15.6,2.8,8,256,5.51,1269,0.9412,Bajo,1,0
88,HP,3,Full HD,2,1,5,14.0,2.6,8,256,3.26,1611,0.8235,Bajo,1,0
89,HP,3,Full HD,2,1,5,15.6,2.5,8,256,4.06,1453,0.7647,Bajo,1,0
90,Dell,3,Full HD,3,1,5,15.6,1.6,8,256,4.41,1452,0.2353,Bajo,1,0
91,Dell,4,Full HD,2,1,7,13.3,1.8,8,256,2.65,2006,0.3529,Medio,1,0
92,HP,3,Full HD,2,1,7,15.6,2.7,8,256,4.06,1656,0.8824,Medio,1,0
93,HP,5,Full HD,3,1,7,15.6,2.8,8,256,5.73,2208,0.9412,Medio,1,0
94,Dell,3,Full HD,2,1,5,14.0,2.6,8,256,3.0,1813,0.8235,Medio,1,0
95,Asus,3,Full HD,2,1,5,14.0,2.5,8,256,4.41,1200,0.7647,Bajo,1,0
96,Dell,3,Full HD,1,1,7,15.6,2.7,8,256,5.14,1142,0.8824,Bajo,1,0
97,HP,4,IPS Panel,2,1,7,14.0,2.7,8,256,3.0,2223,0.8824,Medio,0,1
98,Lenovo,3,IPS Panel,3,1,5,14.0,2.5,8,256,3.31,1396,0.7647,Bajo,0,1
99,Lenovo,3,IPS Panel,2,1,3,13.0,2.4,4,128,3.31,697,0.7059,Bajo,0,1
100,Dell,5,IPS Panel,3,1,7,15.0,2.7,8,256,4.41,2712,0.8824,Medio,0,1
101,MSI,1,Full HD,3,1,7,17.3,2.8,8,256,5.95,1714,0.9412,Medio,1,0
102,Dell,3,Full HD,1,2,7,15.6,2.7,8,256,5.14,989,0.8824,Bajo,1,0
103,Lenovo,3,IPS Panel,1,1,7,15.0,1.8,8,256,4.63,1562,0.3529,Bajo,0,1
104,Lenovo,3,IPS Panel,2,1,5,14.0,2.5,8,256,4.19,1192,0.7647,Bajo,0,1
105,Acer,3,Full HD,3,2,7,15.6,2.8,8,256,5.51,1117,0.9412,Bajo,1,0
106,Dell,3,Full HD,1,2,5,15.6,2.5,4,256,5.07,761,0.7647,Bajo,1,0
107,HP,4,Full HD,2,1,7,14.0,2.5,8,256,3.15,1905,0.7647,Medio,1,0
108,Lenovo,4,IPS Panel,1,1,7,14.0,1.8,8,256,3.86,1544,0.3529,Bajo,0,1
109,HP,3,Full HD,2,1,7,15.6,2.9,8,256,5.09,1813,1.0,Medio,1,0
110,Dell,4,Full HD,2,2,7,14.0,2.8,8,256,3.53,1396,0.9412,Bajo,1,0
111,Lenovo,3,IPS Panel,2,1,7,13.0,2.7,8,256,3.09,1283,0.8824,Bajo,0,1
112,Lenovo,3,IPS Panel,2,1,3,14.0,2.7,4,128,3.75,761,0.8824,Bajo,0,1
113,Asus,3,Full HD,2,2,5,15.6,2.5,4,256,4.41,710,0.7647,Bajo,1,0
114,Dell,3,Full HD,1,1,5,15.6,1.6,4,256,4.85,951,0.2353,Bajo,1,0
115,Lenovo,4,IPS Panel,2,1,5,12.0,2.5,8,256,3.0,1815,0.7647,Medio,0,1
116,Dell,3,Full HD,3,1,5,14.0,2.8,8,256,3.62,1498,0.9412,Bajo,1,0
117,MSI,1,Full HD,3,1,5,15.6,2.5,8,256,4.85,1306,0.7647,Bajo,1,0
118,Dell,5,IPS Panel,3,1,7,15.0,2.7,16,256,4.78,2509,0.8824,Medio,0,1
119,Lenovo,3,Full HD,2,1,5,14.0,2.5,8,256,3.64,1709,0.7647,Medio,1,0
120,Lenovo,3,Full HD,3,1,7,15.6,2.9,8,256,5.89,2655,1.0,Medio,1,0
121,Dell,4,Full HD,2,1,5,15.6,1.6,8,256,3.13,2340,0.2353,Medio,1,0
122,Dell,5,Full HD,3,1,7,15.6,2.8,8,256,3.92,3059,0.9412,Alto,1,0
123,Toshiba,3,IPS Panel,2,1,5,13.0,2.5,8,256,2.32,2124,0.7647,Medio,0,1
124,HP,3,IPS Panel,2,1,5,13.0,1.6,4,128,3.29,922,0.2353,Bajo,0,1
125,Lenovo,3,IPS Panel,2,1,5,14.0,1.6,8,256,3.86,1333,0.2353,Bajo,0,1
126,Lenovo,3,IPS Panel,3,1,5,15.0,2.5,8,256,5.07,1286,0.7647,Bajo,0,1
127,Lenovo,3,Full HD,2,1,7,15.6,1.8,8,256,4.78,1142,0.3529,Bajo,1,0
128,Lenovo,3,IPS Panel,2,1,3,13.0,2.4,8,256,3.09,1206,0.7059,Bajo,0,1
129,Lenovo,3,IPS Panel,2,1,5,15.0,2.5,8,256,5.07,1157,0.7647,Bajo,0,1
130,Lenovo,3,Full HD,2,1,5,13.3,2.5,8,256,3.18,1206,0.7647,Bajo,1,0
131,Dell,4,IPS Panel,2,1,5,13.3,2.5,8,128,2.84,1142,0.7647,Bajo,0,1
132,HP,3,Full HD,3,1,5,15.6,2.5,8,256,4.5,1129,0.7647,Bajo,1,0
133,HP,4,IPS Panel,2,1,7,13.0,2.7,8,256,2.91,1777,0.8824,Medio,0,1
134,Dell,3,Full HD,2,1,5,14.0,2.6,8,256,3.62,1626,0.8235,Medio,1,0
135,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,4.45,1702,0.6471,Medio,1,0
136,Dell,3,Full HD,2,1,5,15.6,2.8,8,256,4.19,1749,0.9412,Medio,1,0
137,Dell,3,Full HD,3,1,7,15.6,2.8,8,256,4.26,1739,0.9412,Medio,1,0
138,Dell,3,Full HD,1,1,5,15.6,1.6,8,256,4.85,1013,0.2353,Bajo,1,0
139,Lenovo,3,IPS Panel,3,1,7,14.0,2.7,8,256,4.12,1091,0.8824,Bajo,0,1
140,Dell,3,Full HD,2,1,3,14.0,2.0,4,128,3.53,935,0.4706,Bajo,1,0
141,HP,3,Full HD,2,1,3,15.6,2.4,4,128,4.63,896,0.7059,Bajo,1,0
142,Lenovo,3,Full HD,2,1,3,15.6,2.0,4,128,4.85,634,0.4706,Bajo,1,0
143,Dell,3,Full HD,2,1,5,15.6,2.5,8,256,4.19,1419,0.7647,Bajo,1,0
144,Lenovo,3,Full HD,2,1,3,15.6,2.7,4,128,4.52,800,0.8824,Bajo,1,0
145,Lenovo,3,IPS Panel,3,1,7,17.0,2.8,8,256,7.5,3810,0.9412,Alto,0,1
146,Lenovo,3,Full HD,2,1,5,15.6,2.5,8,256,5.07,1054,0.7647,Bajo,1,0
147,Dell,3,Full HD,1,2,7,15.6,2.7,8,256,4.85,951,0.8824,Bajo,1,0
148,HP,3,Full HD,2,1,3,13.3,2.4,4,128,3.29,913,0.7059,Bajo,1,0
149,Dell,3,Full HD,3,1,7,15.6,2.8,16,256,4.26,1953,0.9412,Medio,1,0
150,Lenovo,4,IPS Panel,2,1,7,14.0,2.6,12,256,3.09,2125,0.8235,Medio,0,1
151,Lenovo,3,IPS Panel,2,1,5,14.0,2.5,8,256,3.75,1872,0.7647,Medio,0,1
152,Dell,5,Full HD,3,1,7,15.6,2.8,8,256,4.54,2240,0.9412,Medio,1,0
153,HP,3,Full HD,2,1,7,15.6,2.7,8,256,4.06,1548,0.8824,Bajo,1,0
154,Toshiba,3,IPS Panel,2,1,7,15.0,2.5,8,256,4.85,1777,0.7647,Medio,0,1
155,Dell,3,Full HD,1,2,5,15.6,2.5,4,128,4.81,723,0.7647,Bajo,1,0
156,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.64,1861,0.6471,Medio,1,0
157,Dell,3,Full HD,3,1,7,15.6,2.8,8,256,4.41,2312,0.9412,Medio,1,0
158,Lenovo,3,Full HD,2,1,5,15.6,1.6,4,256,3.97,1053,0.2353,Bajo,1,0
159,Acer,4,IPS Panel,2,1,5,14.0,2.5,8,256,3.97,1167,0.7647,Bajo,0,1
160,Razer,1,Full HD,3,1,7,14.0,2.8,16,256,4.3,3301,0.9412,Alto,1,0
161,Toshiba,3,Full HD,2,1,5,13.3,2.3,8,256,2.65,1541,0.6471,Bajo,1,0
162,Lenovo,4,IPS Panel,2,1,7,12.0,2.7,8,256,3.0,2012,0.8824,Medio,0,1
163,Dell,4,Full HD,2,1,5,13.3,1.6,8,256,2.65,1842,0.2353,Medio,1,0
164,Dell,3,Full HD,1,1,7,15.6,1.8,8,256,4.85,1167,0.3529,Bajo,1,0
165,Dell,3,Full HD,2,1,5,14.0,2.4,8,256,3.44,1561,0.7059,Bajo,1,0
166,Toshiba,3,IPS Panel,2,1,5,15.0,2.5,8,256,4.41,1598,0.7647,Bajo,0,1
167,Asus,4,Full HD,2,1,5,14.0,2.5,8,256,2.43,1442,0.7647,Bajo,1,0
168,Acer,1,Full HD,3,1,5,15.6,2.5,16,256,5.51,1650,0.7647,Medio,1,0
169,MSI,1,Full HD,3,1,5,15.6,2.5,8,256,4.85,1268,0.7647,Bajo,1,0
170,HP,3,IPS Panel,1,1,3,17.0,2.0,4,256,5.51,888,0.4706,Bajo,0,1
171,Lenovo,3,Full HD,2,1,5,14.0,2.5,4,256,3.75,888,0.7647,Bajo,1,0
172,Toshiba,3,IPS Panel,2,1,5,13.0,2.5,8,256,3.31,1236,0.7647,Bajo,0,1
173,Dell,3,Full HD,2,1,5,15.6,2.5,8,256,4.81,1010,0.7647,Bajo,1,0
174,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.97,1513,0.6471,Bajo,1,0
175,Dell,3,Full HD,3,2,5,14.0,2.8,8,256,3.62,1383,0.9412,Bajo,1,0
176,Lenovo,3,IPS Panel,3,1,5,14.0,2.5,8,256,4.12,1089,0.7647,Bajo,0,1
177,Dell,3,Full HD,2,1,5,15.6,2.6,8,256,4.19,1498,0.8235,Bajo,1,0
178,HP,3,Full HD,3,1,7,17.3,2.7,8,256,5.8,1524,0.8824,Bajo,1,0
179,Lenovo,4,IPS Panel,2,1,5,14.0,2.5,8,256,2.91,1904,0.7647,Medio,0,1
180,Lenovo,3,IPS Panel,2,1,5,13.0,2.5,8,256,3.18,1219,0.7647,Bajo,0,1
181,HP,5,Full HD,3,1,7,15.6,2.8,16,256,5.73,3073,0.9412,Alto,1,0
182,Toshiba,3,IPS Panel,2,1,5,14.0,2.5,8,256,2.76,1950,0.7647,Medio,0,1
183,Samsung,4,Full HD,2,1,7,13.3,2.7,16,256,1.79,2095,0.8824,Medio,1,0
184,HP,3,Full HD,2,1,3,15.6,2.0,8,256,4.1,685,0.4706,Bajo,1,0
185,HP,3,Full HD,2,1,5,15.6,2.4,8,256,4.06,2414,0.7059,Medio,1,0
186,HP,5,Full HD,3,1,7,15.6,2.6,8,256,5.71,1983,0.8235,Medio,1,0
187,Dell,4,Full HD,2,1,7,12.5,2.8,16,256,2.6,2361,0.9412,Medio,1,0
188,Samsung,4,Full HD,2,1,7,15.6,2.7,8,256,2.89,2031,0.8824,Medio,1,0
189,Dell,3,Full HD,1,1,7,15.6,2.7,16,256,5.07,1501,0.8824,Bajo,1,0
190,Acer,3,IPS Panel,2,1,3,14.0,2.4,4,128,3.97,808,0.7059,Bajo,0,1
191,Dell,1,Full HD,3,1,5,15.6,2.5,8,256,5.78,1251,0.7647,Bajo,1,0
192,Dell,3,Full HD,1,1,3,15.6,2.0,8,256,4.41,939,0.4706,Bajo,1,0
193,HP,5,Full HD,3,1,7,15.6,2.8,8,256,6.92,2623,0.9412,Medio,1,0
194,Asus,3,Full HD,2,1,5,15.6,2.5,8,256,5.23,1396,0.7647,Bajo,1,0
195,Dell,4,Full HD,2,1,5,13.3,2.5,8,256,2.84,1904,0.7647,Medio,1,0
196,Samsung,4,Full HD,2,1,5,13.3,2.5,8,256,1.79,1904,0.7647,Medio,1,0
197,Dell,3,Full HD,1,1,5,15.6,2.5,8,256,4.81,1003,0.7647,Bajo,1,0
198,Lenovo,4,Full HD,2,1,7,14.0,2.7,8,256,2.91,2361,0.8824,Medio,1,0
199,MSI,1,Full HD,3,1,5,15.6,2.5,8,256,5.29,1523,0.7647,Bajo,1,0
200,Acer,3,IPS Panel,2,1,3,14.0,2.4,8,128,3.31,786,0.7059,Bajo,0,1
201,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.75,1507,0.6471,Bajo,1,0
202,Lenovo,3,IPS Panel,2,1,5,14.0,2.6,8,256,2.91,2096,0.8235,Medio,0,1
203,Dell,3,Full HD,1,1,7,15.6,2.7,4,256,4.81,939,0.8824,Bajo,1,0
204,Lenovo,4,IPS Panel,3,1,7,14.0,2.8,8,256,4.32,2417,0.9412,Medio,0,1
205,Asus,3,IPS Panel,3,1,7,15.0,2.7,8,256,5.07,1000,0.8824,Bajo,0,1
206,Dell,3,Full HD,2,1,5,15.6,2.5,8,128,4.19,1200,0.7647,Bajo,1,0
207,HP,3,Full HD,1,1,5,15.6,2.6,8,256,4.06,1714,0.8235,Medio,1,0
208,Toshiba,3,Full HD,2,1,5,13.3,2.5,4,128,2.32,1632,0.7647,Medio,1,0
209,Acer,3,IPS Panel,2,1,5,14.0,2.5,8,256,3.44,1146,0.7647,Bajo,0,1
210,Toshiba,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.41,1763,0.8824,Medio,0,1
211,Samsung,4,Full HD,3,1,7,15.0,2.7,16,256,2.71,2349,0.8824,Medio,1,0
212,Dell,4,Full HD,2,1,7,12.5,2.8,8,256,3.53,2147,0.9412,Medio,1,0
213,Xiaomi,4,IPS Panel,3,1,5,13.0,2.3,8,256,2.82,1188,0.6471,Bajo,0,1
214,HP,3,Full HD,2,1,5,15.6,2.5,4,256,4.5,1066,0.7647,Bajo,1,0
215,HP,3,Full HD,2,1,5,14.0,2.5,4,128,4.3,1607,0.7647,Bajo,1,0
216,Samsung,4,Full HD,2,1,7,15.0,2.7,8,256,2.58,2158,0.8824,Medio,1,0
217,Lenovo,4,IPS Panel,2,1,5,14.0,2.5,8,256,2.91,2285,0.7647,Medio,0,1
218,Toshiba,3,Full HD,2,1,5,13.3,2.5,8,256,2.32,1874,0.7647,Medio,1,0
219,Dell,3,Full HD,2,1,5,14.0,2.8,8,256,3.53,1531,0.9412,Bajo,1,0
220,Lenovo,3,Full HD,3,1,7,15.6,2.7,6,256,4.85,1002,0.8824,Bajo,1,0
221,HP,3,Full HD,3,1,7,15.6,2.7,8,256,4.5,1294,0.8824,Bajo,1,0
222,Lenovo,3,Full HD,2,1,5,13.3,2.5,4,128,3.18,1119,0.7647,Bajo,1,0
223,HP,3,Full HD,2,1,5,13.3,2.5,8,256,3.29,1219,0.7647,Bajo,1,0
224,HP,4,Full HD,1,1,7,15.6,2.5,8,256,4.06,1648,0.7647,Medio,1,0
225,Toshiba,3,IPS Panel,3,1,7,15.0,2.6,16,256,5.29,2509,0.8235,Medio,0,1
226,Lenovo,4,IPS Panel,2,1,7,12.0,2.7,8,256,3.0,2096,0.8824,Medio,0,1
227,HP,3,Full HD,2,1,5,15.6,2.3,8,256,5.09,1480,0.6471,Bajo,1,0
228,Toshiba,3,IPS Panel,2,1,5,14.0,2.3,4,128,3.24,1404,0.6471,Bajo,0,1
229,HP,2,Full HD,2,1,5,12.5,2.3,8,256,2.78,2120,0.6471,Medio,1,0
230,Dell,4,Full HD,2,1,5,14.0,2.5,8,256,3.0,2082,0.7647,Medio,1,0
231,Dell,4,Full HD,2,1,5,15.6,2.5,8,256,3.0,1870,0.7647,Medio,1,0
232,Dell,4,Full HD,2,1,7,14.0,2.8,8,256,3.0,2255,0.9412,Medio,1,0
233,Toshiba,3,Full HD,2,1,5,13.3,2.3,8,256,2.65,1855,0.6471,Medio,1,0
234,Lenovo,4,IPS Panel,2,1,7,14.0,2.6,8,256,3.75,1891,0.8235,Medio,0,1
235,Toshiba,3,Full HD,2,1,5,13.3,2.4,8,256,2.65,1950,0.7059,Medio,1,0
236,Lenovo,4,IPS Panel,2,1,5,12.0,2.6,8,256,3.0,2236,0.8235,Medio,0,1
237,Lenovo,3,Full HD,3,1,5,15.6,2.5,6,256,5.29,883,0.7647,Bajo,1,0
238,Toshiba,3,Full HD,2,1,5,14.0,2.3,8,256,4.3,1499,0.6471,Bajo,1,0
