id,marca,tipo_combustible,aspiracion,numero_puertas,estilo_carroceria,ruedas_motrices,ubicacion_motor,base_ruedas,longitud,ancho,altura,peso_en_vacio,tipo_motor,numero_cilindros,tamano_motor,sistema_combustible,diametro_cilindro,carrera_cilindro,relacion_compresion,potencia_hp,rpm_maximas,consumo_ciudad_kpg,consumo_carretera_kpg,precio,longitud_normalizada,ancho_normalizado,altura_normalizada,potencia_hp_agrupada,tipo_combustible_diesel,tipo_combustible_gas,aspiracion_std,aspiracion_turbo
24,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,38,48,7957,0.7559,0.8861,0.8495,Baja,0,1,0,1
25,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,49,61,6229,0.7559,0.8861,0.8462,Baja,0,1,1,0
26,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,49,61,6692,0.7559,0.8861,0.8462,Baja,0,1,1,0
27,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,49,61,7609,0.7559,0.8861,0.8462,Baja,0,1,1,0
28,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,38,48,8558,0.7559,0.8861,0.8462,Baja,0,1,0,1
29,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,38,48,8921,0.839,0.8972,1.0,Baja,0,1,1,0
30,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,30,38,12964,0.8323,0.9208,0.8395,Media,0,1,0,1
31,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,78,86,6479,0.6949,0.8875,0.8495,Baja,0,1,1,0
32,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,49,61,6855,0.6949,0.8875,0.8495,Baja,0,1,1,0
33,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,61,67,5399,0.7208,0.8889,0.8796,Baja,0,1,1,0
34,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,48,54,6529,0.7208,0.8889,0.8796,Baja,0,1,1,0
35,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,48,54,7129,0.7208,0.8889,0.8796,Baja,0,1,1,0
36,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,48,54,7295,0.7852,0.8889,0.9114,Baja,0,1,1,0
37,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,48,54,7295,0.7549,0.8875,0.9749,Baja,0,1,1,0
38,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,43,53,7895,0.8049,0.9056,0.8913,Baja,0,1,1,0
39,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,43,53,9095,0.8049,0.9056,0.8913,Baja,0,1,1,0
40,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,43,53,8845,0.8429,0.9056,0.9047,Baja,0,1,1,0
41,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,43,53,10295,0.8429,0.8681,0.9047,Baja,0,1,1,0
42,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,38,45,12945,0.8429,0.9056,0.9047,Baja,0,1,1,0
43,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,40,49,10345,0.8126,0.9167,0.8528,Baja,0,1,1,0
44,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,38,46,6785,0.8203,0.8583,0.8946,Baja,0,1,1,0
47,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,38,46,11048,0.8294,0.9056,0.8595,Baja,0,1,1,0
48,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,24,30,32250,0.9592,0.9667,0.8829,Media,0,1,1,0
49,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,24,30,35550,0.9592,0.9667,0.8829,Media,0,1,1,0
50,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,20,27,36000,0.9212,0.9806,0.7993,Alta,0,1,1,0
51,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,48,49,5195,0.7645,0.8917,0.9047,Baja,0,1,1,0
52,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,49,61,6095,0.7645,0.8917,0.9047,Baja,0,1,1,0
53,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,49,61,6795,0.7645,0.8917,0.9047,Baja,0,1,1,0
54,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,49,61,6695,0.8015,0.8917,0.9047,Baja,0,1,1,0
55,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,49,61,7395,0.8015,0.8917,0.9047,Baja,0,1,1,0
56,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000,27,37,10945,0.8121,0.9125,0.8294,Baja,0,1,1,0
57,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000,27,37,11845,0.8121,0.9125,0.8294,Baja,0,1,1,0
58,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.33,3.26,9.4,101,6000,27,37,13645,0.8121,0.9125,0.8294,Baja,0,1,1,0
59,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.33,3.26,9.4,135,6000,25,37,15645,0.8121,0.9125,0.8294,Media,0,1,1,0
60,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,41,51,8845,0.8544,0.9236,0.898,Baja,0,1,1,0
61,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,41,51,8495,0.8544,0.9236,0.9281,Baja,0,1,1,0
62,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,41,51,10595,0.8544,0.9236,0.898,Baja,0,1,1,0
63,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,41,51,10245,0.8544,0.9236,0.9281,Baja,0,1,1,0
64,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,57,67,10795,0.8544,0.9236,0.9281,Baja,1,0,1,0
65,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,41,51,11245,0.8544,0.9236,0.9281,Baja,0,1,1,0
66,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,30,43,18280,0.8409,0.9181,0.9097,Media,0,1,1,0
67,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,49,62,18344,0.8409,0.9181,0.9097,Baja,1,0,1,0
68,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,35,40,25552,0.9173,0.9764,0.9448,Media,1,0,0,1
69,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,35,40,28248,0.9173,0.9764,0.9816,Media,1,0,0,1
70,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,35,40,28176,0.901,0.9764,0.9181,Media,1,0,0,1
71,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,35,40,31600,0.9736,0.9958,0.9415,Media,1,0,0,1
72,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,25,28,34184,0.9736,0.9958,0.9448,Media,0,1,1,0
73,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,25,28,35056,0.8664,0.9792,0.8495,Media,0,1,1,0
74,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,22,25,40960,1.0,0.9958,0.9482,Media,0,1,1,0
75,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500,22,25,45400,0.9572,1.0,0.9264,Media,0,1,1,0
76,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,30,38,16503,0.8573,0.9444,0.9164,Media,0,1,0,1
77,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,59,65,5389,0.7559,0.8944,0.8495,Baja,0,1,1,0
78,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,49,61,6189,0.7559,0.8944,0.8495,Baja,0,1,1,0
79,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,49,61,6669,0.7559,0.8944,0.8495,Baja,0,1,1,0
80,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,38,48,7689,0.7559,0.8861,0.8495,Baja,0,1,0,1
81,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,37,48,9959,0.8313,0.9083,0.8261,Baja,0,1,0,1
82,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,40,51,8499,0.8313,0.9083,0.8261,Baja,0,1,1,0
83,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,30,38,12629,0.8323,0.9208,0.8395,Media,0,1,0,1
84,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,30,38,14869,0.8323,0.9208,0.8395,Media,0,1,0,1
85,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,30,38,14489,0.8323,0.9208,0.8395,Media,0,1,0,1
86,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,40,51,6989,0.8284,0.9083,0.8629,Baja,0,1,1,0
87,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,40,51,8189,0.8284,0.9083,0.8629,Baja,0,1,1,0
88,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,37,48,9279,0.8284,0.9083,0.8629,Baja,0,1,0,1
89,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,37,48,9279,0.8284,0.9083,0.8629,Baja,0,1,1,0
90,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,5499,0.7943,0.8861,0.9114,Baja,0,1,1,0
91,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,72,80,7099,0.7943,0.8861,0.9114,Baja,1,0,1,0
92,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,6649,0.7943,0.8861,0.9114,Baja,0,1,1,0
93,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,6849,0.7943,0.8861,0.9114,Baja,0,1,1,0
94,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,7349,0.8179,0.8861,0.8946,Baja,0,1,1,0
95,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,7299,0.7943,0.8861,0.9114,Baja,0,1,1,0
96,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,7799,0.7958,0.8861,0.8913,Baja,0,1,1,0
97,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,7499,0.7943,0.8861,0.9114,Baja,0,1,1,0
98,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,7999,0.8179,0.8861,0.8946,Baja,0,1,1,0
99,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,49,59,8249,0.7804,0.8861,0.8913,Baja,0,1,1,0
100,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,43,54,8949,0.8333,0.9056,0.9147,Baja,0,1,1,0
101,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,43,54,9549,0.8333,0.9056,0.9147,Baja,0,1,1,0
102,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,27,35,13499,0.8731,0.9236,0.9214,Media,0,1,1,0
103,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,27,35,14399,0.8871,0.9236,0.9381,Media,0,1,1,0
104,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,30,40,13499,0.8871,0.9236,0.9214,Media,0,1,1,0
105,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,30,40,17199,0.8203,0.9431,0.8311,Media,0,1,1,0
106,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,27,37,19699,0.8203,0.9431,0.8311,Alta,0,1,0,1
107,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,30,40,18399,0.8578,0.9431,0.8311,Media,0,1,1,0
108,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,30,38,11900,0.8972,0.95,0.9482,Baja,0,1,1,0
109,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95,4150,45,53,13200,0.8972,0.95,0.9482,Baja,1,0,0,1
110,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,30,38,12440,0.9558,0.95,0.9816,Baja,0,1,1,0
111,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95,4150,40,40,13860,0.9558,0.95,0.9816,Baja,1,0,0,1
112,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,30,38,15580,0.8972,0.95,0.9482,Baja,0,1,1,0
113,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,45,53,16900,0.8972,0.95,0.9482,Baja,1,0,0,1
114,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,30,38,16695,0.9558,0.95,0.9482,Baja,0,1,1,0
115,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95,4150,40,40,17075,0.9558,0.95,0.9816,Baja,1,0,0,1
116,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,30,38,16630,0.8972,0.95,0.9482,Baja,0,1,1,0
117,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,45,53,17950,0.8972,0.95,0.9482,Baja,1,0,0,1
118,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,28,38,18150,0.8972,0.9486,0.9365,Media,0,1,0,1
119,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,59,65,5572,0.7559,0.8861,0.8495,Baja,0,1,1,0
120,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,38,48,7957,0.7559,0.8861,0.8495,Baja,0,1,0,1
121,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,49,61,6229,0.7559,0.8861,0.8462,Baja,0,1,1,0
122,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,49,61,6692,0.8039,0.8861,0.8495,Baja,0,1,1,0
123,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,49,61,7609,0.8039,0.8861,0.8495,Baja,0,1,1,0
124,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,38,48,8921,0.839,0.8972,1.0,Baja,0,1,1,0
125,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,30,38,12764,0.8323,0.9208,0.8395,Media,0,1,0,1
126,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,30,43,22018,0.8116,0.9486,0.8395,Media,0,1,1,0
127,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,27,40,32528,0.8116,0.9028,0.8629,Alta,0,1,1,0
128,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,27,40,34028,0.8116,0.9028,0.8629,Alta,0,1,1,0
129,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,27,40,37028,0.8116,0.9028,0.8629,Alta,0,1,1,0
