id,marca,categoria,pantalla,gpu,sistema_operativo,nucleos_cpu,tamano_pantalla_cm,frecuencia_cpu,ram_gb,almacenamiento_gb_ssd,peso_kg,precio
37,Acer,3,Full HD,3,1,3,39.624,2.7,4,256,2.2,727
38,HP,3,Full HD,2,1,7,35.56,1.8,8,256,1.63,1255
39,HP,3,IPS Panel,2,1,5,33.02,2.5,4,256,1.86,888
40,Lenovo,3,IPS Panel,1,1,5,35.56,1.6,8,256,1.75,1418
41,Asus,4,Full HD,2,1,7,35.56,1.8,8,256,1.25,1396
42,HP,4,Full HD,2,1,5,35.56,2.7,4,256,1.48,1374
43,HP,3,Full HD,1,1,5,39.624,1.6,6,256,1.91,786
44,Acer,3,IPS Panel,3,1,5,43.18,1.6,4,256,3,1023
45,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.13,925
46,Lenovo,1,IPS Panel,3,1,7,38.1,2.8,16,256,2.5,1371
47,Acer,3,IPS Panel,3,1,5,43.18,1.6,8,256,3,1085
48,Huawei,4,IPS Panel,2,1,5,33.02,2.5,8,256,1.05,1714
49,HP,3,Full HD,3,1,5,43.942,1.6,8,256,2.5,1172
50,Dell,4,Full HD,2,1,5,33.782,1.6,8,256,1.86,1777
51,Acer,4,IPS Panel,2,1,5,33.02,1.2,8,256,1.12,1256
52,HP,3,Full HD,3,1,7,43.942,1.8,8,256,2.5,1327
53,Dell,4,Full HD,2,1,7,33.782,1.8,8,256,1.2,1841
54,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1184
55,HP,3,Full HD,3,1,7,35.56,1.8,8,256,1.63,1310
56,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.6,1460
57,Dell,3,Full HD,1,2,5,39.624,1.6,8,256,2.2,860
58,Toshiba,4,Full HD,2,1,7,33.782,2.5,8,256,1.2,1731
59,Acer,3,Full HD,3,1,7,39.624,2.7,8,256,2.2,1057
60,Asus,3,Full HD,3,1,5,39.624,2.5,8,256,2,977
61,Dell,3,Full HD,2,1,5,35.56,2.5,8,256,1.6,1091
62,Dell,3,Full HD,1,2,7,39.624,2.7,16,256,1.86,1142
63,Acer,1,IPS Panel,3,1,5,38.1,2.5,8,256,2.5,1075
64,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.56,1117
65,Asus,1,Full HD,3,1,7,43.942,2.9,16,256,3.6,3810
66,Acer,3,IPS Panel,3,1,3,43.18,2.7,4,256,3,892
67,Dell,4,Full HD,2,1,5,33.782,1.6,8,256,1.41,1206
68,Lenovo,3,Full HD,2,1,7,39.624,1.8,8,256,2.05,1118
69,Dell,3,Full HD,1,2,7,39.624,1.8,8,256,1.86,934
70,Lenovo,1,IPS Panel,3,1,5,38.1,2.5,8,256,2.5,1053
71,Lenovo,3,Full HD,2,1,5,39.624,2.5,6,256,2.2,735
72,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,3,1208
73,Lenovo,3,IPS Panel,2,1,7,38.1,2.7,8,256,1.95,1394
74,Asus,4,Full HD,3,1,5,39.624,2.5,8,256,1.7,1241
75,Dell,3,Full HD,3,1,7,39.624,2.8,8,256,2,2323
76,Lenovo,3,Full HD,2,1,5,39.624,1.6,8,256,2.05,939
77,Acer,3,Full HD,3,2,7,39.624,2.8,8,256,2.5,1244
78,Dell,5,Full HD,3,1,7,43.942,2.9,16,256,3.42,3665
79,Toshiba,3,IPS Panel,3,1,7,38.1,2.5,8,256,2.2,1325
80,Lenovo,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.1,1269
81,HP,3,Full HD,2,1,5,35.56,2.5,8,256,1.95,1245
82,HP,3,Full HD,2,1,7,35.56,2.7,8,256,1.48,1641
83,Asus,3,Full HD,2,1,7,35.56,2.7,8,256,2,1390
84,Asus,4,Full HD,3,1,7,39.624,2.7,8,256,1.7,1334
85,HP,4,Full HD,2,1,7,31.75,2.7,8,256,1.26,1696
86,Toshiba,3,IPS Panel,2,1,5,38.1,2.5,8,256,2,1198
87,Asus,1,Full HD,3,1,7,39.624,2.8,8,256,2.5,1269
88,HP,3,Full HD,2,1,5,35.56,2.6,8,256,1.48,1611
89,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.84,1453
90,Dell,3,Full HD,3,1,5,39.624,1.6,8,256,2,1452
91,Dell,4,Full HD,2,1,7,33.782,1.8,8,256,1.2,2006
92,HP,3,Full HD,2,1,7,39.624,2.7,8,256,1.84,1656
93,HP,5,Full HD,3,1,7,39.624,2.8,8,256,2.6,2208
94,Dell,3,Full HD,2,1,5,35.56,2.6,8,256,1.36,1813
95,Asus,3,Full HD,2,1,5,35.56,2.5,8,256,2,1200
96,Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.33,1142
97,HP,4,IPS Panel,2,1,7,35.56,2.7,8,256,1.36,2223
98,Lenovo,3,IPS Panel,3,1,5,35.56,2.5,8,256,1.5,1396
99,Lenovo,3,IPS Panel,2,1,3,33.02,2.4,4,128,1.5,697
100,Dell,5,IPS Panel,3,1,7,38.1,2.7,8,256,2,2712
101,MSI,1,Full HD,3,1,7,43.942,2.8,8,256,2.7,1714
102,Dell,3,Full HD,1,2,7,39.624,2.7,8,256,2.33,989
103,Lenovo,3,IPS Panel,1,1,7,38.1,1.8,8,256,2.1,1562
104,Lenovo,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.9,1192
105,Acer,3,Full HD,3,2,7,39.624,2.8,8,256,2.5,1117
106,Dell,3,Full HD,1,2,5,39.624,2.5,4,256,2.3,761
107,HP,4,Full HD,2,1,7,35.56,2.5,8,256,1.43,1905
108,Lenovo,4,IPS Panel,1,1,7,35.56,1.8,8,256,1.75,1544
109,HP,3,Full HD,2,1,7,39.624,2.9,8,256,2.31,1813
110,Dell,4,Full HD,2,2,7,35.56,2.8,8,256,1.6,1396
111,Lenovo,3,IPS Panel,2,1,7,33.02,2.7,8,256,1.4,1283
112,Lenovo,3,IPS Panel,2,1,3,35.56,2.7,4,128,1.7,761
113,Asus,3,Full HD,2,2,5,39.624,2.5,4,256,2,710
114,Dell,3,Full HD,1,1,5,39.624,1.6,4,256,2.2,951
115,Lenovo,4,IPS Panel,2,1,5,30.48,2.5,8,256,1.36,1815
116,Dell,3,Full HD,3,1,5,35.56,2.8,8,256,1.64,1498
117,MSI,1,Full HD,3,1,5,39.624,2.5,8,256,2.2,1306
118,Dell,5,IPS Panel,3,1,7,38.1,2.7,16,256,2.17,2509
119,Lenovo,3,Full HD,2,1,5,35.56,2.5,8,256,1.65,1709
120,Lenovo,3,Full HD,3,1,7,39.624,2.9,8,256,2.67,2655
121,Dell,4,Full HD,2,1,5,39.624,1.6,8,256,1.42,2340
122,Dell,5,Full HD,3,1,7,39.624,2.8,8,256,1.78,3059
123,Toshiba,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.05,2124
124,HP,3,IPS Panel,2,1,5,33.02,1.6,4,128,1.49,922
125,Lenovo,3,IPS Panel,2,1,5,35.56,1.6,8,256,1.75,1333
126,Lenovo,3,IPS Panel,3,1,5,38.1,2.5,8,256,2.3,1286
127,Lenovo,3,Full HD,2,1,7,39.624,1.8,8,256,2.17,1142
128,Lenovo,3,IPS Panel,2,1,3,33.02,2.4,8,256,1.4,1206
129,Lenovo,3,IPS Panel,2,1,5,38.1,2.5,8,256,2.3,1157
130,Lenovo,3,Full HD,2,1,5,33.782,2.5,8,256,1.44,1206
131,Dell,4,IPS Panel,2,1,5,33.782,2.5,8,128,1.29,1142
132,HP,3,Full HD,3,1,5,39.624,2.5,8,256,2.04,1129
133,HP,4,IPS Panel,2,1,7,33.02,2.7,8,256,1.32,1777
134,Dell,3,Full HD,2,1,5,35.56,2.6,8,256,1.64,1626
135,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,2.02,1702
136,Dell,3,Full HD,2,1,5,39.624,2.8,8,256,1.9,1749
137,Dell,3,Full HD,3,1,7,39.624,2.8,8,256,1.93,1739
138,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1013
139,Lenovo,3,IPS Panel,3,1,7,35.56,2.7,8,256,1.87,1091
140,Dell,3,Full HD,2,1,3,35.56,2.0,4,128,1.6,935
141,HP,3,Full HD,2,1,3,39.624,2.4,4,128,2.1,896
142,Lenovo,3,Full HD,2,1,3,39.624,2.0,4,128,2.2,634
143,Dell,3,Full HD,2,1,5,39.624,2.5,8,256,1.9,1419
144,Lenovo,3,Full HD,2,1,3,39.624,2.7,4,128,2.05,800
145,Lenovo,3,IPS Panel,3,1,7,43.18,2.8,8,256,3.4,3810
146,Lenovo,3,Full HD,2,1,5,39.624,2.5,8,256,2.3,1054
147,Dell,3,Full HD,1,2,7,39.624,2.7,8,256,2.2,951
148,HP,3,Full HD,2,1,3,33.782,2.4,4,128,1.49,913
149,Dell,3,Full HD,3,1,7,39.624,2.8,16,256,1.93,1953
150,Lenovo,4,IPS Panel,2,1,7,35.56,2.6,12,256,1.4,2125
151,Lenovo,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.7,1872
152,Dell,5,Full HD,3,1,7,39.624,2.8,8,256,2.06,2240
153,HP,3,Full HD,2,1,7,39.624,2.7,8,256,1.84,1548
154,Toshiba,3,IPS Panel,2,1,7,38.1,2.5,8,256,2.2,1777
155,Dell,3,Full HD,1,2,5,39.624,2.5,4,128,2.18,723
156,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.65,1861
157,Dell,3,Full HD,3,1,7,39.624,2.8,8,256,2,2312
158,Lenovo,3,Full HD,2,1,5,39.624,1.6,4,256,1.8,1053
159,Acer,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.8,1167
160,Razer,1,Full HD,3,1,7,35.56,2.8,16,256,1.95,3301
161,Toshiba,3,Full HD,2,1,5,33.782,2.3,8,256,1.2,1541
162,Lenovo,4,IPS Panel,2,1,7,30.48,2.7,8,256,1.36,2012
163,Dell,4,Full HD,2,1,5,33.782,1.6,8,256,1.2,1842
164,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1167
165,Dell,3,Full HD,2,1,5,35.56,2.4,8,256,1.56,1561
166,Toshiba,3,IPS Panel,2,1,5,38.1,2.5,8,256,2,1598
167,Asus,4,Full HD,2,1,5,35.56,2.5,8,256,1.1,1442
168,Acer,1,Full HD,3,1,5,39.624,2.5,16,256,2.5,1650
169,MSI,1,Full HD,3,1,5,39.624,2.5,8,256,2.2,1268
170,HP,3,IPS Panel,1,1,3,43.18,2.0,4,256,2.5,888
171,Lenovo,3,Full HD,2,1,5,35.56,2.5,4,256,1.7,888
172,Toshiba,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.5,1236
173,Dell,3,Full HD,2,1,5,39.624,2.5,8,256,2.18,1010
174,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.8,1513
175,Dell,3,Full HD,3,2,5,35.56,2.8,8,256,1.64,1383
176,Lenovo,3,IPS Panel,3,1,5,35.56,2.5,8,256,1.87,1089
177,Dell,3,Full HD,2,1,5,39.624,2.6,8,256,1.9,1498
178,HP,3,Full HD,3,1,7,43.942,2.7,8,256,2.63,1524
179,Lenovo,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.32,1904
180,Lenovo,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.44,1219
181,HP,5,Full HD,3,1,7,39.624,2.8,16,256,2.6,3073
182,Toshiba,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.25,1950
183,Samsung,4,Full HD,2,1,7,33.782,2.7,16,256,0.81,2095
184,HP,3,Full HD,2,1,3,39.624,2.0,8,256,1.86,685
185,HP,3,Full HD,2,1,5,39.624,2.4,8,256,1.84,2414
186,HP,5,Full HD,3,1,7,39.624,2.6,8,256,2.59,1983
187,Dell,4,Full HD,2,1,7,31.75,2.8,16,256,1.18,2361
188,Samsung,4,Full HD,2,1,7,39.624,2.7,8,256,1.31,2031
189,Dell,3,Full HD,1,1,7,39.624,2.7,16,256,2.3,1501
190,Acer,3,IPS Panel,2,1,3,35.56,2.4,4,128,1.8,808
191,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.62,1251
192,Dell,3,Full HD,1,1,3,39.624,2.0,8,256,2,939
193,HP,5,Full HD,3,1,7,39.624,2.8,8,256,3.14,2623
194,Asus,3,Full HD,2,1,5,39.624,2.5,8,256,2.37,1396
195,Dell,4,Full HD,2,1,5,33.782,2.5,8,256,1.29,1904
196,Samsung,4,Full HD,2,1,5,33.782,2.5,8,256,0.81,1904
197,Dell,3,Full HD,1,1,5,39.624,2.5,8,256,2.18,1003
198,Lenovo,4,Full HD,2,1,7,35.56,2.7,8,256,1.32,2361
199,MSI,1,Full HD,3,1,5,39.624,2.5,8,256,2.4,1523
200,Acer,3,IPS Panel,2,1,3,35.56,2.4,8,128,1.5,786
201,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.7,1507
202,Lenovo,3,IPS Panel,2,1,5,35.56,2.6,8,256,1.32,2096
203,Dell,3,Full HD,1,1,7,39.624,2.7,4,256,2.18,939
204,Lenovo,4,IPS Panel,3,1,7,35.56,2.8,8,256,1.96,2417
205,Asus,3,IPS Panel,3,1,7,38.1,2.7,8,256,2.3,1000
206,Dell,3,Full HD,2,1,5,39.624,2.5,8,128,1.9,1200
207,HP,3,Full HD,1,1,5,39.624,2.6,8,256,1.84,1714
208,Toshiba,3,Full HD,2,1,5,33.782,2.5,4,128,1.05,1632
209,Acer,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.56,1146
210,Toshiba,3,IPS Panel,2,1,7,38.1,2.7,8,256,2,1763
211,Samsung,4,Full HD,3,1,7,38.1,2.7,16,256,1.23,2349
212,Dell,4,Full HD,2,1,7,31.75,2.8,8,256,1.6,2147
213,Xiaomi,4,IPS Panel,3,1,5,33.02,2.3,8,256,1.28,1188
214,HP,3,Full HD,2,1,5,39.624,2.5,4,256,2.04,1066
215,HP,3,Full HD,2,1,5,35.56,2.5,4,128,1.95,1607
216,Samsung,4,Full HD,2,1,7,38.1,2.7,8,256,1.17,2158
217,Lenovo,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.32,2285
218,Toshiba,3,Full HD,2,1,5,33.782,2.5,8,256,1.05,1874
219,Dell,3,Full HD,2,1,5,35.56,2.8,8,256,1.6,1531
220,Lenovo,3,Full HD,3,1,7,39.624,2.7,6,256,2.2,1002
221,HP,3,Full HD,3,1,7,39.624,2.7,8,256,2.04,1294
222,Lenovo,3,Full HD,2,1,5,33.782,2.5,4,128,1.44,1119
223,HP,3,Full HD,2,1,5,33.782,2.5,8,256,1.49,1219
224,HP,4,Full HD,1,1,7,39.624,2.5,8,256,1.84,1648
225,Toshiba,3,IPS Panel,3,1,7,38.1,2.6,16,256,2.4,2509
226,Lenovo,4,IPS Panel,2,1,7,30.48,2.7,8,256,1.36,2096
227,HP,3,Full HD,2,1,5,39.624,2.3,8,256,2.31,1480
228,Toshiba,3,IPS Panel,2,1,5,35.56,2.3,4,128,1.47,1404
229,HP,2,Full HD,2,1,5,31.75,2.3,8,256,1.26,2120
230,Dell,4,Full HD,2,1,5,35.56,2.5,8,256,1.36,2082
231,Dell,4,Full HD,2,1,5,39.624,2.5,8,256,1.36,1870
232,Dell,4,Full HD,2,1,7,35.56,2.8,8,256,1.36,2255
233,Toshiba,3,Full HD,2,1,5,33.782,2.3,8,256,1.2,1855
234,Lenovo,4,IPS Panel,2,1,7,35.56,2.6,8,256,1.7,1891
235,Toshiba,3,Full HD,2,1,5,33.782,2.4,8,256,1.2,1950
236,Lenovo,4,IPS Panel,2,1,5,30.48,2.6,8,256,1.36,2236
237,Lenovo,3,Full HD,3,1,5,39.624,2.5,6,256,2.4,883
238,Toshiba,3,Full HD,2,1,5,35.56,2.3,8,256,1.95,1499
