id,marca,categoria,pantalla,gpu,sistema_operativo,nucleos_cpu,tamano_pantalla_in,frecuencia_cpu,ram_gb,almacenamiento_gb_ssd,peso_lb,precio
64,Dell,1,Full HD,3,1,5,15.6,2.5,8,256,5.64,1117
65,Asus,1,Full HD,3,1,7,17.3,2.9,16,256,7.94,3810
66,Acer,3,IPS Panel,3,1,3,17.0,2.7,4,256,6.62,892
67,Dell,4,Full HD,2,1,5,13.3,1.6,8,256,3.11,1206
68,Lenovo,3,Full HD,2,1,7,15.6,1.8,8,256,4.52,1118
69,Dell,3,Full HD,1,2,7,15.6,1.8,8,256,4.1,934
70,Lenovo,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51,1053
71,Lenovo,3,Full HD,2,1,5,15.6,2.5,6,256,4.85,735
72,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,6.62,1208
73,Lenovo,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.3,1394
74,Asus,4,Full HD,3,1,5,15.6,2.5,8,256,3.75,1241
75,Dell,3,Full HD,3,1,7,15.6,2.8,8,256,4.41,2323
76,Lenovo,3,Full HD,2,1,5,15.6,1.6,8,256,4.52,939
77,Acer,3,Full HD,3,2,7,15.6,2.8,8,256,5.51,1244
78,Dell,5,Full HD,3,1,7,17.3,2.9,16,256,7.54,3665
79,Toshiba,3,IPS Panel,3,1,7,15.0,2.5,8,256,4.85,1325
80,Lenovo,3,IPS Panel,2,1,5,13.0,2.5,8,256,2.43,1269
81,HP,3,Full HD,2,1,5,14.0,2.5,8,256,4.3,1245
82,HP,3,Full HD,2,1,7,14.0,2.7,8,256,3.26,1641
83,Asus,3,Full HD,2,1,7,14.0,2.7,8,256,4.41,1390
84,Asus,4,Full HD,3,1,7,15.6,2.7,8,256,3.75,1334
85,HP,4,Full HD,2,1,7,12.5,2.7,8,256,2.78,1696
86,Toshiba,3,IPS Panel,2,1,5,15.0,2.5,8,256,4.41,1198
87,Asus,1,Full HD,3,1,7,15.6,2.8,8,256,5.51,1269
88,HP,3,Full HD,2,1,5,14.0,2.6,8,256,3.26,1611
89,HP,3,Full HD,2,1,5,15.6,2.5,8,256,4.06,1453
90,Dell,3,Full HD,3,1,5,15.6,1.6,8,256,4.41,1452
91,Dell,4,Full HD,2,1,7,13.3,1.8,8,256,2.65,2006
92,HP,3,Full HD,2,1,7,15.6,2.7,8,256,4.06,1656
93,HP,5,Full HD,3,1,7,15.6,2.8,8,256,5.73,2208
94,Dell,3,Full HD,2,1,5,14.0,2.6,8,256,3.0,1813
95,Asus,3,Full HD,2,1,5,14.0,2.5,8,256,4.41,1200
96,Dell,3,Full HD,1,1,7,15.6,2.7,8,256,5.14,1142
97,HP,4,IPS Panel,2,1,7,14.0,2.7,8,256,3.0,2223
98,Lenovo,3,IPS Panel,3,1,5,14.0,2.5,8,256,3.31,1396
99,Lenovo,3,IPS Panel,2,1,3,13.0,2.4,4,128,3.31,697
100,Dell,5,IPS Panel,3,1,7,15.0,2.7,8,256,4.41,2712
101,MSI,1,Full HD,3,1,7,17.3,2.8,8,256,5.95,1714
102,Dell,3,Full HD,1,2,7,15.6,2.7,8,256,5.14,989
103,Lenovo,3,IPS Panel,1,1,7,15.0,1.8,8,256,4.63,1562
104,Lenovo,3,IPS Panel,2,1,5,14.0,2.5,8,256,4.19,1192
105,Acer,3,Full HD,3,2,7,15.6,2.8,8,256,5.51,1117
106,Dell,3,Full HD,1,2,5,15.6,2.5,4,256,5.07,761
107,HP,4,Full HD,2,1,7,14.0,2.5,8,256,3.15,1905
108,Lenovo,4,IPS Panel,1,1,7,14.0,1.8,8,256,3.86,1544
109,HP,3,Full HD,2,1,7,15.6,2.9,8,256,5.09,1813
110,Dell,4,Full HD,2,2,7,14.0,2.8,8,256,3.53,1396
111,Lenovo,3,IPS Panel,2,1,7,13.0,2.7,8,256,3.09,1283
112,Lenovo,3,IPS Panel,2,1,3,14.0,2.7,4,128,3.75,761
113,Asus,3,Full HD,2,2,5,15.6,2.5,4,256,4.41,710
114,Dell,3,Full HD,1,1,5,15.6,1.6,4,256,4.85,951
115,Lenovo,4,IPS Panel,2,1,5,12.0,2.5,8,256,3.0,1815
116,Dell,3,Full HD,3,1,5,14.0,2.8,8,256,3.62,1498
117,MSI,1,Full HD,3,1,5,15.6,2.5,8,256,4.85,1306
118,Dell,5,IPS Panel,3,1,7,15.0,2.7,16,256,4.78,2509
119,Lenovo,3,Full HD,2,1,5,14.0,2.5,8,256,3.64,1709
120,Lenovo,3,Full HD,3,1,7,15.6,2.9,8,256,5.89,2655
121,Dell,4,Full HD,2,1,5,15.6,1.6,8,256,3.13,2340
122,Dell,5,Full HD,3,1,7,15.6,2.8,8,256,3.92,3059
123,Toshiba,3,IPS Panel,2,1,5,13.0,2.5,8,256,2.32,2124
124,HP,3,IPS Panel,2,1,5,13.0,1.6,4,128,3.29,922
125,Lenovo,3,IPS Panel,2,1,5,14.0,1.6,8,256,3.86,1333
126,Lenovo,3,IPS Panel,3,1,5,15.0,2.5,8,256,5.07,1286
127,Lenovo,3,Full HD,2,1,7,15.6,1.8,8,256,4.78,1142
128,Lenovo,3,IPS Panel,2,1,3,13.0,2.4,8,256,3.09,1206
129,Lenovo,3,IPS Panel,2,1,5,15.0,2.5,8,256,5.07,1157
130,Lenovo,3,Full HD,2,1,5,13.3,2.5,8,256,3.18,1206
131,Dell,4,IPS Panel,2,1,5,13.3,2.5,8,128,2.84,1142
132,HP,3,Full HD,3,1,5,15.6,2.5,8,256,4.5,1129
133,HP,4,IPS Panel,2,1,7,13.0,2.7,8,256,2.91,1777
134,Dell,3,Full HD,2,1,5,14.0,2.6,8,256,3.62,1626
135,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,4.45,1702
136,Dell,3,Full HD,2,1,5,15.6,2.8,8,256,4.19,1749
137,Dell,3,Full HD,3,1,7,15.6,2.8,8,256,4.26,1739
138,Dell,3,Full HD,1,1,5,15.6,1.6,8,256,4.85,1013
139,Lenovo,3,IPS Panel,3,1,7,14.0,2.7,8,256,4.12,1091
140,Dell,3,Full HD,2,1,3,14.0,2.0,4,128,3.53,935
141,HP,3,Full HD,2,1,3,15.6,2.4,4,128,4.63,896
142,Lenovo,3,Full HD,2,1,3,15.6,2.0,4,128,4.85,634
143,Dell,3,Full HD,2,1,5,15.6,2.5,8,256,4.19,1419
144,Lenovo,3,Full HD,2,1,3,15.6,2.7,4,128,4.52,800
145,Lenovo,3,IPS Panel,3,1,7,17.0,2.8,8,256,7.5,3810
146,Lenovo,3,Full HD,2,1,5,15.6,2.5,8,256,5.07,1054
147,Dell,3,Full HD,1,2,7,15.6,2.7,8,256,4.85,951
148,HP,3,Full HD,2,1,3,13.3,2.4,4,128,3.29,913
149,Dell,3,Full HD,3,1,7,15.6,2.8,16,256,4.26,1953
150,Lenovo,4,IPS Panel,2,1,7,14.0,2.6,12,256,3.09,2125
151,Lenovo,3,IPS Panel,2,1,5,14.0,2.5,8,256,3.75,1872
152,Dell,5,Full HD,3,1,7,15.6,2.8,8,256,4.54,2240
153,HP,3,Full HD,2,1,7,15.6,2.7,8,256,4.06,1548
154,Toshiba,3,IPS Panel,2,1,7,15.0,2.5,8,256,4.85,1777
155,Dell,3,Full HD,1,2,5,15.6,2.5,4,128,4.81,723
156,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.64,1861
157,Dell,3,Full HD,3,1,7,15.6,2.8,8,256,4.41,2312
158,Lenovo,3,Full HD,2,1,5,15.6,1.6,4,256,3.97,1053
159,Acer,4,IPS Panel,2,1,5,14.0,2.5,8,256,3.97,1167
160,Razer,1,Full HD,3,1,7,14.0,2.8,16,256,4.3,3301
161,Toshiba,3,Full HD,2,1,5,13.3,2.3,8,256,2.65,1541
162,Lenovo,4,IPS Panel,2,1,7,12.0,2.7,8,256,3.0,2012
163,Dell,4,Full HD,2,1,5,13.3,1.6,8,256,2.65,1842
164,Dell,3,Full HD,1,1,7,15.6,1.8,8,256,4.85,1167
165,Dell,3,Full HD,2,1,5,14.0,2.4,8,256,3.44,1561
166,Toshiba,3,IPS Panel,2,1,5,15.0,2.5,8,256,4.41,1598
167,Asus,4,Full HD,2,1,5,14.0,2.5,8,256,2.43,1442
168,Acer,1,Full HD,3,1,5,15.6,2.5,16,256,5.51,1650
169,MSI,1,Full HD,3,1,5,15.6,2.5,8,256,4.85,1268
170,HP,3,IPS Panel,1,1,3,17.0,2.0,4,256,5.51,888
171,Lenovo,3,Full HD,2,1,5,14.0,2.5,4,256,3.75,888
172,Toshiba,3,IPS Panel,2,1,5,13.0,2.5,8,256,3.31,1236
173,Dell,3,Full HD,2,1,5,15.6,2.5,8,256,4.81,1010
174,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.97,1513
175,Dell,3,Full HD,3,2,5,14.0,2.8,8,256,3.62,1383
176,Lenovo,3,IPS Panel,3,1,5,14.0,2.5,8,256,4.12,1089
177,Dell,3,Full HD,2,1,5,15.6,2.6,8,256,4.19,1498
178,HP,3,Full HD,3,1,7,17.3,2.7,8,256,5.8,1524
179,Lenovo,4,IPS Panel,2,1,5,14.0,2.5,8,256,2.91,1904
180,Lenovo,3,IPS Panel,2,1,5,13.0,2.5,8,256,3.18,1219
181,HP,5,Full HD,3,1,7,15.6,2.8,16,256,5.73,3073
182,Toshiba,3,IPS Panel,2,1,5,14.0,2.5,8,256,2.76,1950
183,Samsung,4,Full HD,2,1,7,13.3,2.7,16,256,1.79,2095
184,HP,3,Full HD,2,1,3,15.6,2.0,8,256,4.1,685
185,HP,3,Full HD,2,1,5,15.6,2.4,8,256,4.06,2414
186,HP,5,Full HD,3,1,7,15.6,2.6,8,256,5.71,1983
187,Dell,4,Full HD,2,1,7,12.5,2.8,16,256,2.6,2361
188,Samsung,4,Full HD,2,1,7,15.6,2.7,8,256,2.89,2031
189,Dell,3,Full HD,1,1,7,15.6,2.7,16,256,5.07,1501
190,Acer,3,IPS Panel,2,1,3,14.0,2.4,4,128,3.97,808
191,Dell,1,Full HD,3,1,5,15.6,2.5,8,256,5.78,1251
192,Dell,3,Full HD,1,1,3,15.6,2.0,8,256,4.41,939
193,HP,5,Full HD,3,1,7,15.6,2.8,8,256,6.92,2623
194,Asus,3,Full HD,2,1,5,15.6,2.5,8,256,5.23,1396
195,Dell,4,Full HD,2,1,5,13.3,2.5,8,256,2.84,1904
196,Samsung,4,Full HD,2,1,5,13.3,2.5,8,256,1.79,1904
197,Dell,3,Full HD,1,1,5,15.6,2.5,8,256,4.81,1003
198,Lenovo,4,Full HD,2,1,7,14.0,2.7,8,256,2.91,2361
199,MSI,1,Full HD,3,1,5,15.6,2.5,8,256,5.29,1523
200,Acer,3,IPS Panel,2,1,3,14.0,2.4,8,128,3.31,786
201,Lenovo,3,Full HD,2,1,5,14.0,2.3,8,256,3.75,1507
202,Lenovo,3,IPS Panel,2,1,5,14.0,2.6,8,256,2.91,2096
203,Dell,3,Full HD,1,1,7,15.6,2.7,4,256,4.81,939
204,Lenovo,4,IPS Panel,3,1,7,14.0,2.8,8,256,4.32,2417
205,Asus,3,IPS Panel,3,1,7,15.0,2.7,8,256,5.07,1000
206,Dell,3,Full HD,2,1,5,15.6,2.5,8,128,4.19,1200
207,HP,3,Full HD,1,1,5,15.6,2.6,8,256,4.06,1714
208,Toshiba,3,Full HD,2,1,5,13.3,2.5,4,128,2.32,1632
209,Acer,3,IPS Panel,2,1,5,14.0,2.5,8,256,3.44,1146
210,Toshiba,3,IPS Panel,2,1,7,15.0,2.7,8,256,4.41,1763
211,Samsung,4,Full HD,3,1,7,15.0,2.7,16,256,2.71,2349
212,Dell,4,Full HD,2,1,7,12.5,2.8,8,256,3.53,2147
213,Xiaomi,4,IPS Panel,3,1,5,13.0,2.3,8,256,2.82,1188
214,HP,3,Full HD,2,1,5,15.6,2.5,4,256,4.5,1066
215,HP,3,Full HD,2,1,5,14.0,2.5,4,128,4.3,1607
216,Samsung,4,Full HD,2,1,7,15.0,2.7,8,256,2.58,2158
217,Lenovo,4,IPS Panel,2,1,5,14.0,2.5,8,256,2.91,2285
218,Toshiba,3,Full HD,2,1,5,13.3,2.5,8,256,2.32,1874
219,Dell,3,Full HD,2,1,5,14.0,2.8,8,256,3.53,1531
220,Lenovo,3,Full HD,3,1,7,15.6,2.7,6,256,4.85,1002
221,HP,3,Full HD,3,1,7,15.6,2.7,8,256,4.5,1294
222,Lenovo,3,Full HD,2,1,5,13.3,2.5,4,128,3.18,1119
223,HP,3,Full HD,2,1,5,13.3,2.5,8,256,3.29,1219
224,HP,4,Full HD,1,1,7,15.6,2.5,8,256,4.06,1648
225,Toshiba,3,IPS Panel,3,1,7,15.0,2.6,16,256,5.29,2509
226,Lenovo,4,IPS Panel,2,1,7,12.0,2.7,8,256,3.0,2096
227,HP,3,Full HD,2,1,5,15.6,2.3,8,256,5.09,1480
228,Toshiba,3,IPS Panel,2,1,5,14.0,2.3,4,128,3.24,1404
229,HP,2,Full HD,2,1,5,12.5,2.3,8,256,2.78,2120
230,Dell,4,Full HD,2,1,5,14.0,2.5,8,256,3.0,2082
231,Dell,4,Full HD,2,1,5,15.6,2.5,8,256,3.0,1870
232,Dell,4,Full HD,2,1,7,14.0,2.8,8,256,3.0,2255
233,Toshiba,3,Full HD,2,1,5,13.3,2.3,8,256,2.65,1855
234,Lenovo,4,IPS Panel,2,1,7,14.0,2.6,8,256,3.75,1891
235,Toshiba,3,Full HD,2,1,5,13.3,2.4,8,256,2.65,1950
236,Lenovo,4,IPS Panel,2,1,5,12.0,2.6,8,256,3.0,2236
237,Lenovo,3,Full HD,3,1,5,15.6,2.5,6,256,5.29,883
238,Toshiba,3,Full HD,2,1,5,14.0,2.3,8,256,4.3,1499
